"Name","Date","Uncertainty"
38,6030,90
42,6029,90
43,6095,90
44,6105,90
45,6118,90
46,6155,90
47,6240,90
48,6315,90
49,6318,90
50,6447,90
51,6470,90
52,6669,90
53,6670,90
54,6675,90
55,6678,90
56,6770,90
57,6825,90
58,6830,90
59,6000,90
60,6000,90
61,6010,90
62,6010,90
63,6050,90
64,6070,90
65,6090,90
66,6090,90
67,6135,90
68,6140,90
69,6145,90
70,6150,90
71,6205,90
72,6220,90
73,6220,90
74,6230,90
75,6240,90
76,6271,90
77,6345,90
78,6350,90
79,6370,90
80,6446,90
81,6487,90
82,6490,90
83,6623,90
84,6700,90
85,6700,90
86,6750,90
87,6751,90
88,6778,90
89,6830,90
90,6834,90
91,6861,90
92,6864,90
93,6870,90
94,6880,90
95,6910,90
96,6980,90
101,6140,90
102,6280,90
103,6400,90
104,6420,90
105,6470,90
106,6010,90
107,6015,90
108,6050,90
109,6280,90
117,6170,90
118,6280,90
119,6390,90
120,6065,90
122,6219,90
123,6146,90
124,6490,90
125,6170,90
126,6235,90
127,6090,90
128,6090,90
129,6122,90
130,6127,90
131,6190,90
140,6189,90
141,6312,90
142,6340,90
143,6310,90
144,6580,90
162,6230,90
163,6240,90
164,6000,90
207,6090,90
208,6130,90
209,6184,90
212,6100,90
213,6280,90
214,6320,90
215,6050,90
216,6483,90
217,6540,90
218,6545,90
219,6548,90
220,6570,90
234,6540,90
235,6690,90
237,6380,90
283,6290,90
284,6300,90
290,6490,90
291,6510,90
292,6390,90
351,6000,90
352,6050,90
353,6580,90
354,6950,90
407,6004,90
408,6040,90
409,6045,90
410,6065,90
411,6247,90
412,6183,90
413,6290,90
416,6010,90
417,6000,90
439,6130,90
440,6165,90
444,6038,90
473,6650,90
474,6090,90
475,6134,90
476,6161,90
477,6210,90
478,6217,90
479,6223,90
480,6246,90
481,6272,90
482,6327,90
483,6356,90
484,6524,90
485,6131,90
486,6131,90
487,6161,90
488,6212,90
489,6213,90
490,6262,90
491,6262,90
492,6335,90
493,6335,90
494,6585,90
495,6626,90
496,6170,90
528,6450,90
529,6125,90
530,6240,90
531,6290,90
532,6350,90
533,6470,90
556,6212,90
557,6222,90
558,6110,90
559,6146,90
560,6231,90
564,6440,90
565,6097,90
578,6069,90
579,6077,90
580,6106,90
581,6106,90
582,6112,90
583,6127,90
603,6060,90
604,6091,90
605,6240,90
606,6280,90
607,6330,90
608,6410,90
609,6751,90
617,6015,90
618,6040,90
619,6092,90
620,6095,90
621,6060,90
622,6320,90
655,6422,90
656,6020,90
657,6051,90
674,6060,90
675,6480,90
699,6030,90
700,6550,90
710,6060,90
711,6070,90
712,6675,90
713,6760,90
714,6767,90
721,6000,90
722,6027,90
723,6028,90
724,6059,90
725,6060,90
726,6063,90
727,6110,90
728,6120,90
729,6128,90
730,6129,90
731,6170,90
732,6231,90
733,6513,90
734,6525,90
735,6535,90
736,6570,90
760,6310,90
761,6316,90
762,6327,90
777,6075,90
836,6011,90
837,6130,90
847,6400,90
848,6504,90
849,6557,90
852,6050,90
853,6168,90
854,6258,90
858,6016,90
859,6038,90
860,6050,90
861,6105,90
862,6920,90
